BATCH_ID|MONTH|CUSTOMER_ID|PAN|TAX_CODE|INTEREST_AMOUNT|SYSTEM_TDS
20260901|2026-08|CUST001|ABCDE1234F|TDSI|45000.00|0.00
20260901|2026-08|CUST002|FGHIJ5678K|TDSI|75000.00|7500.00
20260901|2026-08|CUST003|LMNOP9012Q|TDSI|90000.00|8000.00
20260901|2026-08|CUST004|ABCDE1234F|TDSRP|85000.00|0.00
20260901|2026-08|CUST005|RSTUV3456L|TDSRP|125000.00|12500.00
20260901|2026-08|CUST006|WXYZA7890M|TDSRP|150000.00|10000.00
20260901|2026-08|CUST007|BCDEF2345N|NOTDS|50000.00|0.00
20260901|2026-08|CUST008|CDEFG6789P|NOTDS|250000.00|0.00
20260901|2026-08|CUST009|DEFGH1234R|TDSN|100000.00|32000.00
20260901|2026-08|CUST010|EFGHI5678S|TDSN|250000.00|80000.00
20260901|2026-08|CUST011|FGHIJ9012T|TD15G|200000.00|0.00
20260901|2026-08|CUST012|GHIJK3456U|TD15G|250000.00|0.00
20260901|2026-08|CUST013|HIJKL7890V|TD15G|300000.00|30000.00
20260901|2026-08|CUST014|IJKLM2345W|TD15H|500000.00|0.00
20260901|2026-08|CUST015|JKLMN6789X|TD15H|550000.00|0.00
20260901|2026-08|CUST016|KLMNO1234Y|TD15H|600000.00|60000.00
20260901|2026-08|CUST017|ABCDE1234F|TDSI|60000.00|6000.00
20260901|2026-08|CUST018|ABCDE1234F|TDSI|40000.00|0.00
20260901|2026-08|CUST019|ABCDE1234F|TDSI|25000.00|0.00
20260901|2026-08|CUST020|ABCDE1234F|TDSRP|120000.00|12000.00
20260901|2026-08|CUST021|NEG0012345|TDSI|-10000.00|0.00
